Part,Color,Quantity,,Gobrick Part,Gobrick Color
30377,'71,73,,GDS-999,'071
32828,'0,30,,GDS-1570,'080
57360,'72,36,,GDS-1219,'072
14418,'71,39,,GDS-851,'071
11477,'72,26,,GDS-656,'072
24307,'71,31,,GDS-560,'071
99781,'72,100,,GDS-640,'072
48729b,'72,32,,GDS-1000,'072
36840,'71,61,,GDS-1567,'071
53923,'72,36,,GDS-1218,'072
28192,'72,45,,GDS-1484,'072
33909,'72,32,,GDS-1483,'072
73825,'72,39,,GDS-2140,'072
92946,'72,33,,GDS-832,'072
87087,'72,93,,GDS-635,'072
32062,'0,110,,GDS-580,'080
24299,'71,31,,GDS-559,'071
79389,'72,39,,GDS-2141,'072
4085d,'72,44,,GDS-814,'072
33909,'71,64,,GDS-1483,'071
4697b,'71,30,,GDS-1053,'071
76797,'71,6,,GDS-90162,'071
